// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem '20230117::MUSE'
// 68.26% Vertrauensbereich (1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

20230117,  Positioniere Instr.1,  38-15,  5535.233954,  -1456.085791,  -1533.603578,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.016739,  0.017217,  0.017318,  0.029606,  ,  ,  ,  01/17/23 11:30:25,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.004988 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=5.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000148 mm, h = 0.000045, v = 0.000068 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  PIM1_3,  5231.773987,  -107.125342,  4639.152843,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.028468,  0.029807,  0.024637,  0.048019,  ,  ,  ,  01/17/23 11:31:06,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.027394 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000156, v = 0.000202 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  PIM1_4*,  3277.014091,  519.291789,  4013.161265,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.023736,  0.023825,  0.020113,  0.039187,  ,  ,  ,  01/17/23 11:31:23,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.006055 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000224 mm, h = 0.000047, v = 0.000053 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  PIM1_5,  3160.880083,  -1415.642324,  4037.487437,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.024687,  0.024459,  0.020902,  0.040553,  ,  ,  ,  01/17/23 11:31:35,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008183 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000103 mm, h = 0.000073, v = 0.000059 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  PIM1_9,  -2252.400977,  585.491400,  -1317.611773,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.019416,  0.022647,  0.022652,  0.037456,  ,  ,  ,  01/17/23 11:32:19,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.010158 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000133 mm, h = 0.000081, v = 0.000095 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  PIM1_4,  3276.975196,  519.294242,  4013.178844,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.023736,  0.023826,  0.020113,  0.039187,  ,  ,  ,  01/17/23 11:33:06,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008472 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000262 mm, h = 0.000059, v = 0.000080 deg. Level Compensation OFF
20230117,  Positioniere Instr.1,  36-20,  763.404742,  -1453.042187,  -3572.264777,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.016988,  0.017007,  0.016712,  0.029277,  ,  ,  ,  01/17/23 11:36:13,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008915 mm,  Weather:T=17.2C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000079, v = 0.000125 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  G3,  509.448064,  560.003726,  1913.305918,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.016077,  0.016133,  0.016008,  0.027839,  ,  ,  ,  01/17/23 11:37:15,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008370 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000237 mm, h = 0.000129, v = 0.000068 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  G1,  2302.731490,  651.911335,  -3.110812,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.004922,  0.007305,  0.008549,  0.012275,  ,  ,  ,  01/17/23 11:37:42,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.002207 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000435 mm, h = 0.000126, v = 0.000072 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H16,  673.019628,  -1398.019362,  -1033.748458,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012245,  0.011859,  0.010847,  0.020204,  ,  ,  ,  01/17/23 11:38:11,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.001704 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000052, v = 0.000018 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H15,  207.182362,  -1395.185211,  -1576.948956,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013935,  0.013480,  0.013222,  0.023467,  ,  ,  ,  01/17/23 11:38:25,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.003395 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000068, v = 0.000043 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H21,  -203.070975,  -1396.024299,  520.389573,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.015662,  0.015640,  0.015638,  0.027101,  ,  ,  ,  01/17/23 11:39:47,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.003627 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000053, v = 0.000043 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H18,  698.463817,  -1397.864413,  -334.508388,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012243,  0.011907,  0.011009,  0.020319,  ,  ,  ,  01/17/23 11:41:25,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.003276 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000090, v = 0.000046 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H19,  356.461870,  -1397.509564,  241.931368,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013753,  0.013383,  0.013198,  0.023290,  ,  ,  ,  01/17/23 11:41:34,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.003736 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000062, v = 0.000060 deg. Level Compensation OFF
20230117,  AutoCorr1 vor Just,  H5,  51.450886,  -748.304518,  622.932143,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014373,  0.013787,  0.013964,  0.024324,  ,  ,  ,  01/17/23 11:42:16,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.002787 mm,  Weather:T=17.0C,P=947.7hPA(mbar),H=23.3%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000178 mm, h = 0.000036, v = 0.000045 deg. Level Compensation OFF
