// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem '2023019::MUSE'
// 68.26% Vertrauensbereich (1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

2023019,  Positioniere Instr.1,  PIM1_9,  -2252.373270,  585.615847,  -1317.473697,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.022690,  0.024573,  0.022482,  0.040301,  ,  ,  ,  01/19/23 08:09:52,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.028063 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000151 mm, h = 0.000173, v = 0.000266 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_7,  -1372.776767,  428.582922,  3426.190353,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014578,  0.013796,  0.013922,  0.024427,  ,  ,  ,  01/19/23 08:10:58,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.014413 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000167 mm, h = 0.000196, v = 0.000216 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_8,  -5931.226387,  425.200400,  3146.002828,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.025821,  0.034961,  0.034879,  0.055728,  ,  ,  ,  01/19/23 08:11:15,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.071646 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000370 mm, h = 0.000353, v = 0.000447 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_6,  1527.935378,  390.548991,  3661.146960,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.006997,  0.007029,  0.010748,  0.014625,  ,  ,  ,  01/19/23 08:11:54,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003208 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000038 mm, h = 0.000081, v = 0.000106 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_4,  3277.047478,  519.332186,  4013.252898,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013783,  0.013033,  0.013526,  0.023298,  ,  ,  ,  01/19/23 08:12:14,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.008713 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000214 mm, h = 0.000151, v = 0.000112 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_5,  3160.904555,  -1415.608168,  4037.542612,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014679,  0.014569,  0.014617,  0.025326,  ,  ,  ,  01/19/23 08:12:40,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.011467 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000137 mm, h = 0.000155, v = 0.000176 deg. Level Compensation OFF
2023019,  Positioniere Instr.1,  PIM1_3,  5231.801014,  -107.093178,  4639.243045,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.020018,  0.022385,  0.021636,  0.037012,  ,  ,  ,  01/19/23 08:12:56,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.018654 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000135, v = 0.000188 deg. Level Compensation OFF
2023019,  Panel6 ST4,  PA6_1,  209.710177,  418.179621,  654.589935,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.010538,  0.009798,  0.011850,  0.018641,  ,  ,  ,  01/19/23 08:19:14,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.004410 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000647 mm, h = 0.000101, v = 0.000075 deg. Level Compensation OFF
2023019,  Panel6 ST4,  PA6_2,  208.490566,  475.387479,  655.865517,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.010574,  0.009880,  0.011858,  0.018709,  ,  ,  ,  01/19/23 08:19:22,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003932 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000797 mm, h = 0.000084, v = 0.000073 deg. Level Compensation OFF
2023019,  Panel6 ST4,  PA6_3,  246.172688,  479.865238,  585.208736,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.010662,  0.010077,  0.012064,  0.018994,  ,  ,  ,  01/19/23 08:19:27,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.007712 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000527 mm, h = 0.000182, v = 0.000120 deg. Level Compensation OFF
2023019,  Panel6 ST4,  PA6_13,  209.815565,  32.915298,  654.241244,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.010444,  0.009561,  0.011821,  0.018446,  ,  ,  ,  01/19/23 08:19:40,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006664 mm,  Weather:T=18.4C,P=969.6hPA(mbar),H=19.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001006 mm, h = 0.000174, v = 0.000081 deg. Level Compensation OFF
